店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額,年月
C,20010409,141125,1000127,00191C,0000481,1,11,1103,110301,1896,189601,98,128,5,640,490,150,20014
D,20010409,141125,1000138,00191D,0000315,1,14,1402,140205,0405,040501,290,377,3,1131,870,261,20014
A,20010409,141125,1000146,00191A,0000137,1,11,1105,110517,0942,094202,485,631,1,631,485,146,20014
B,20010409,120511,1000157,00299B,0000166,1,11,1110,111007,0610,061002,367,478,1,478,367,111,20014
C,20010409,141125,1000127,00191C,0000315,1,14,1402,140205,0405,040501,290,441,1,441,290,151,20014
D,20010409,145134,1000139,00217D,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
A,20010409,145134,1000147,00217A,0000510,1,11,1112,111209,1148,114804,324,422,6,2532,1944,588,20014
B,20010409,120511,1000157,00299B,0000473,1,13,1303,130301,0025,002501,306,398,1,398,306,92,20014
C,20010409,145134,1000128,00217C,0000484,1,11,1105,110509,1221,122103,180,234,1,234,180,54,20014
D,20010409,162030,1000140,00227D,0000339,1,11,1105,110501,1285,128501,430,559,1,559,430,129,20014
A,20010409,145134,1000147,00217A,0000330,1,11,1121,112197,0068,006801,377,491,1,491,377,114,20014
B,20010409,120511,1000157,00299B,0000380,1,11,1121,112105,0109,010905,209,272,6,1632,1254,378,20014
C,20010409,145134,1000128,00217C,0000330,1,11,1121,112197,0068,006801,377,491,5,2455,1885,570,20014
D,20010409,145134,1000139,00217D,0000330,1,11,1121,112197,0068,006801,377,491,1,491,377,114,20014
A,20010409,145134,1000147,00217A,0000484,1,11,1105,110509,1221,122103,180,452,1,452,180,272,20014
B,20010409,120511,1000157,00299B,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103,20014
C,20010409,145134,1000128,00217C,0000510,1,11,1112,111209,1148,114804,324,422,3,1266,972,294,20014
D,20010409,162030,1000140,00227D,0000478,1,11,1101,110125,0807,080700,121,158,3,474,363,111,20014
A,20010409,145134,1000147,00217A,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
B,20010409,120511,1000157,00299B,0000268,1,11,1106,110601,0341,034102,265,490,5,2450,1325,1125,20014
C,20010409,145134,1000128,00217C,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
D,20010409,162030,1000140,00227D,0000290,1,13,1304,130497,1686,168602,404,753,1,753,404,349,20014
A,20010409,162030,1000148,00227A,0000478,1,11,1101,110125,0807,080700,121,158,1,158,121,37,20014
B,20010409,120511,1000157,00299B,0000292,1,11,1105,110504,1110,111001,283,429,2,858,566,292,20014
C,20010409,162030,1000129,00227C,0000627,1,11,1111,111107,0179,017901,112,146,1,146,112,34,20014
D,20010409,162030,1000140,00227D,0000627,1,11,1111,111107,0179,017901,112,146,1,146,112,34,20014
A,20010409,162030,1000148,00227A,0000350,1,11,1102,110207,1263,126302,230,299,4,1196,920,276,20014
B,20010409,141125,1000154,00191B,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30,20014
C,20010409,162030,1000129,00227C,0000478,1,11,1101,110125,0807,080700,121,158,1,158,121,37,20014
D,20010409,162030,1000140,00227D,0000350,1,11,1102,110207,1263,126302,230,299,1,299,230,69,20014
A,20010409,162030,1000148,00227A,0000627,1,11,1111,111107,0179,017901,112,173,1,173,112,61,20014
B,20010409,141125,1000154,00191B,0000315,1,14,1402,140205,0405,040501,290,473,1,473,290,183,20014
C,20010409,162030,1000129,00227C,0000354,1,11,1112,111211,0869,086900,188,245,1,245,188,57,20014
D,20010409,141125,1000138,00191D,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30,20014
A,20010409,162030,1000148,00227A,0000290,1,13,1304,130497,1686,168602,404,526,5,2630,2020,610,20014
B,20010409,141125,1000154,00191B,0000137,1,11,1105,110517,0942,094202,485,631,1,631,485,146,20014
C,20010409,162030,1000129,00227C,0000350,1,11,1102,110207,1263,126302,230,299,1,299,230,69,20014
D,20010409,162030,1000140,00227D,0000354,1,11,1112,111211,0869,086900,188,245,1,245,188,57,20014
A,20010409,162030,1000148,00227A,0000339,1,11,1105,110501,1285,128501,430,559,5,2795,2150,645,20014
B,20010409,145134,1000155,00217B,0000510,1,11,1112,111209,1148,114804,324,422,5,2110,1620,490,20014
C,20010409,162030,1000129,00227C,0000290,1,13,1304,130497,1686,168602,404,526,6,3156,2424,732,20014
D,20010409,145134,1000139,00217D,0000510,1,11,1112,111209,1148,114804,324,652,1,652,324,328,20014
A,20010409,162030,1000148,00227A,0000354,1,11,1112,111211,0869,086900,188,313,1,313,188,125,20014
B,20010409,145134,1000155,00217B,0000330,1,11,1121,112197,0068,006801,377,491,5,2455,1885,570,20014
B,20010409,145134,1000155,00217B,0000484,1,11,1105,110509,1221,122103,180,234,1,234,180,54,20014
B,20010409,145134,1000155,00217B,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
B,20010409,162030,1000156,00227B,0000627,1,11,1111,111107,0179,017901,112,146,7,1022,784,238,20014
B,20010409,162030,1000156,00227B,0000478,1,11,1101,110125,0807,080700,121,158,1,158,121,37,20014
B,20010409,162030,1000156,00227B,0000339,1,11,1105,110501,1285,128501,430,559,5,2795,2150,645,20014
B,20010409,162030,1000156,00227B,0000350,1,11,1102,110207,1263,126302,230,299,3,897,690,207,20014
B,20010409,162030,1000156,00227B,0000290,1,13,1304,130497,1686,168602,404,526,1,526,404,122,20014
B,20010409,162030,1000156,00227B,0000354,1,11,1112,111211,0869,086900,188,245,1,245,188,57,20014
C,20010410,124935,1000131,00139C,0000652,1,11,1115,111503,1571,157103,282,367,1,367,282,85,20014
D,20010410,124935,1000142,00139D,0000278,1,11,1107,110725,0140,014000,278,362,6,2172,1668,504,20014
A,20010410,124935,1000150,00139A,0000531,1,11,1117,111701,0158,015803,192,250,1,250,192,58,20014
B,20010410,124935,1000159,00139B,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
C,20010410,125526,1000130,00043C,0000264,1,11,1115,111509,0969,096902,469,610,1,610,469,141,20014
D,20010410,124935,1000142,00139D,0000397,1,11,1105,110517,0191,019104,212,383,1,383,212,171,20014
A,20010410,124935,1000150,00139A,0000278,1,11,1107,110725,0140,014000,278,517,1,517,278,239,20014
B,20010410,124935,1000159,00139B,0000362,1,11,1119,111901,0171,017104,222,289,1,289,222,67,20014
C,20010410,124935,1000131,00139C,0000531,1,11,1117,111701,0158,015803,192,250,1,250,192,58,20014
D,20010410,124935,1000142,00139D,0000362,1,11,1119,111901,0171,017104,222,361,1,361,222,139,20014
A,20010410,124935,1000150,00139A,0000652,1,11,1115,111503,1571,157103,282,522,1,522,282,240,20014
B,20010410,124935,1000159,00139B,0000397,1,11,1105,110517,0191,019104,212,389,5,1945,1060,885,20014
C,20010410,124935,1000131,00139C,0000335,1,11,1101,110103,0485,048500,109,142,1,142,109,33,20014
D,20010410,124935,1000142,00139D,0000531,1,11,1117,111701,0158,015803,192,250,1,250,192,58,20014
A,20010410,124935,1000150,00139A,0000335,1,11,1101,110103,0485,048500,109,168,1,168,109,59,20014
B,20010410,124935,1000159,00139B,0000365,1,14,1401,140111,0769,076900,161,299,1,299,161,138,20014
C,20010410,124935,1000131,00139C,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
D,20010410,124935,1000142,00139D,0000335,1,11,1101,110103,0485,048500,109,196,1,196,109,87,20014
A,20010410,124935,1000150,00139A,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
B,20010410,124935,1000159,00139B,0000652,1,11,1115,111503,1571,157103,282,367,1,367,282,85,20014
C,20010410,124935,1000131,00139C,0000365,1,14,1401,140111,0769,076900,161,210,5,1050,805,245,20014
D,20010410,124935,1000142,00139D,0000652,1,11,1115,111503,1571,157103,282,367,1,367,282,85,20014
A,20010410,124935,1000150,00139A,0000362,1,11,1119,111901,0171,017104,222,391,1,391,222,169,20014
B,20010410,124935,1000159,00139B,0000278,1,11,1107,110725,0140,014000,278,362,1,362,278,84,20014
C,20010410,124935,1000131,00139C,0000397,1,11,1105,110517,0191,019104,212,339,1,339,212,127,20014
D,20010410,124935,1000142,00139D,0000365,1,14,1401,140111,0769,076900,161,210,7,1470,1127,343,20014
A,20010410,124935,1000150,00139A,0000438,1,14,1403,140309,1100,110001,208,271,6,1626,1248,378,20014
B,20010410,124935,1000159,00139B,0000531,1,11,1117,111701,0158,015803,192,250,3,750,576,174,20014
C,20010410,124935,1000131,00139C,0000278,1,11,1107,110725,0140,014000,278,362,1,362,278,84,20014
D,20010410,124935,1000142,00139D,0000432,1,11,1105,110509,1258,125804,331,431,2,862,662,200,20014
A,20010410,124935,1000150,00139A,0000397,1,11,1105,110517,0191,019104,212,378,1,378,212,166,20014
B,20010410,124935,1000159,00139B,0000335,1,11,1101,110103,0485,048500,109,175,1,175,109,66,20014
C,20010410,124935,1000131,00139C,0000438,1,14,1403,140309,1100,110001,208,329,1,329,208,121,20014
D,20010410,124935,1000142,00139D,0000438,1,14,1403,140309,1100,110001,208,271,3,813,624,189,20014
A,20010410,124935,1000150,00139A,0000365,1,14,1401,140111,0769,076900,161,210,1,210,161,49,20014
B,20010410,125526,1000158,00043B,0000727,1,11,1116,111601,0295,029500,157,205,2,410,314,96,20014
C,20010410,125526,1000130,00043C,0000200,1,11,1108,110803,0494,049400,253,329,1,329,253,76,20014
D,20010410,125526,1000141,00043D,0000727,1,11,1116,111601,0295,029500,157,205,1,205,157,48,20014
A,20010410,125526,1000149,00043A,0000727,1,11,1116,111601,0295,029500,157,205,1,205,157,48,20014
B,20010410,125526,1000158,00043B,0000264,1,11,1115,111509,0969,096902,469,610,1,610,469,141,20014
C,20010410,125526,1000130,00043C,0000727,1,11,1116,111601,0295,029500,157,205,1,205,157,48,20014
D,20010410,125526,1000141,00043D,0000200,1,11,1108,110803,0494,049400,253,329,6,1974,1518,456,20014
A,20010410,125526,1000149,00043A,0000200,1,11,1108,110803,0494,049400,253,329,1,329,253,76,20014
B,20010410,125526,1000158,00043B,0000200,1,11,1108,110803,0494,049400,253,329,6,1974,1518,456,20014
C,20010410,124935,1000131,00139C,0000362,1,11,1119,111901,0171,017104,222,289,1,289,222,67,20014
D,20010410,125526,1000141,00043D,0000264,1,11,1115,111509,0969,096902,469,610,5,3050,2345,705,20014
A,20010410,125526,1000149,00043A,0000264,1,11,1115,111509,0969,096902,469,610,4,2440,1876,564,20014
B,20010410,124935,1000159,00139B,0000438,1,14,1403,140309,1100,110001,208,317,1,317,208,109,20014
C,20010411,112640,1000132,00113C,0000484,1,11,1105,110509,1221,122103,180,272,1,272,180,92,20014
D,20010411,112640,1000143,00113D,0000291,1,11,1112,111211,1364,136402,272,498,1,498,272,226,20014
A,20010411,112640,1000151,00113A,0000507,1,11,1102,110297,1145,114501,252,328,3,984,756,228,20014
B,20010411,112640,1000160,00113B,0000291,1,11,1112,111211,1364,136402,272,354,1,354,272,82,20014
C,20010411,112640,1000132,00113C,0000507,1,11,1102,110297,1145,114501,252,328,3,984,756,228,20014
D,20010411,112640,1000143,00113D,0000512,1,11,1118,111807,1133,113302,352,576,5,2880,1760,1120,20014
A,20010411,112640,1000151,00113A,0000291,1,11,1112,111211,1364,136402,272,354,1,354,272,82,20014
B,20010411,112640,1000160,00113B,0000545,1,11,1121,112111,0729,072900,199,259,1,259,199,60,20014
C,20010411,112640,1000132,00113C,0000291,1,11,1112,111211,1364,136402,272,354,1,354,272,82,20014
D,20010411,112640,1000143,00113D,0000507,1,11,1102,110297,1145,114501,252,328,1,328,252,76,20014
A,20010411,112640,1000151,00113A,0000484,1,11,1105,110509,1221,122103,180,452,1,452,180,272,20014
B,20010411,112640,1000160,00113B,0000512,1,11,1118,111807,1133,113302,352,458,5,2290,1760,530,20014
C,20010411,112640,1000132,00113C,0000512,1,11,1118,111807,1133,113302,352,458,1,458,352,106,20014
D,20010411,112640,1000143,00113D,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
A,20010411,112640,1000151,00113A,0000432,1,11,1105,110509,1258,125804,331,431,4,1724,1324,400,20014
B,20010411,112640,1000160,00113B,0000507,1,11,1102,110297,1145,114501,252,328,1,328,252,76,20014
C,20010411,112640,1000132,00113C,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
D,20010411,112640,1000143,00113D,0000484,1,11,1105,110509,1221,122103,180,234,5,1170,900,270,20014
A,20010411,112640,1000151,00113A,0000545,1,11,1121,112111,0729,072900,199,259,1,259,199,60,20014
B,20010411,112640,1000160,00113B,0000484,1,11,1105,110509,1221,122103,180,285,1,285,180,105,20014
C,20010411,112640,1000132,00113C,0000545,1,11,1121,112111,0729,072900,199,306,1,306,199,107,20014
D,20010411,112640,1000143,00113D,0000545,1,11,1121,112111,0729,072900,199,259,1,259,199,60,20014
A,20010411,112640,1000151,00113A,0000512,1,11,1118,111807,1133,113302,352,458,1,458,352,106,20014
B,20010411,112640,1000160,00113B,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
C,20010412,093220,1000133,00168C,0000324,1,11,1120,112005,1854,185406,286,372,1,372,286,86,20014
D,20010412,093220,1000144,00168D,0000402,1,11,1101,110135,1198,119800,310,403,5,2015,1550,465,20014
A,20010412,093220,1000152,00168A,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
B,20010412,093220,1000161,00168B,0000402,1,11,1101,110135,1198,119800,310,403,5,2015,1550,465,20014
C,20010412,093220,1000133,00168C,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
D,20010412,093220,1000144,00168D,0000203,1,11,1116,111603,1012,101201,242,436,1,436,242,194,20014
A,20010412,093220,1000152,00168A,0000402,1,11,1101,110135,1198,119800,310,563,5,2815,1550,1265,20014
B,20010412,093220,1000161,00168B,0000203,1,11,1116,111603,1012,101201,242,315,6,1890,1452,438,20014
C,20010412,093220,1000133,00168C,0000402,1,11,1101,110135,1198,119800,310,403,1,403,310,93,20014
D,20010412,171654,1000145,00251D,0000566,1,13,1302,130205,0561,056105,524,833,1,833,524,309,20014
A,20010412,093220,1000152,00168A,0000324,1,11,1120,112005,1854,185406,286,455,6,2730,1716,1014,20014
B,20010412,171654,1000162,00251B,0000369,1,11,1103,110301,0663,066302,210,273,5,1365,1050,315,20014
D,20010412,171654,1000145,00251D,0000369,1,11,1103,110301,0663,066302,210,273,1,273,210,63,20014
A,20010412,171654,1000153,00251A,0000494,1,11,1110,111009,1720,172003,236,348,1,348,236,112,20014
B,20010412,171654,1000162,00251B,0000494,1,11,1110,111009,1720,172003,236,307,1,307,236,71,20014
D,20010412,093220,1000144,00168D,0000324,1,11,1120,112005,1854,185406,286,446,1,446,286,160,20014
A,20010412,171654,1000153,00251A,0000364,1,13,1301,130137,1772,177201,366,476,4,1904,1464,440,20014
B,20010412,171654,1000162,00251B,0000232,1,11,1116,111603,1347,134702,253,469,1,469,253,216,20014
D,20010412,171654,1000145,00251D,0000364,1,13,1301,130137,1772,177201,366,634,1,634,366,268,20014
A,20010412,171654,1000153,00251A,0000566,1,13,1302,130205,0561,056105,524,682,1,682,524,158,20014
B,20010412,093220,1000161,00168B,0000324,1,11,1120,112005,1854,185406,286,372,6,2232,1716,516,20014
D,20010412,171654,1000145,00251D,0000494,1,11,1110,111009,1720,172003,236,307,1,307,236,71,20014
A,20010412,171654,1000153,00251A,0000317,1,11,1119,111907,0623,062301,357,555,6,3330,2142,1188,20014
B,20010412,171654,1000162,00251B,0000221,1,13,1303,130303,1137,113701,422,549,4,2196,1688,508,20014
D,20010412,171654,1000145,00251D,0000221,1,13,1303,130303,1137,113701,422,549,1,549,422,127,20014
A,20010412,171654,1000153,00251A,0000443,1,13,1301,130121,1886,188600,395,514,1,514,395,119,20014
B,20010412,171654,1000162,00251B,0000364,1,13,1301,130137,1772,177201,366,526,1,526,366,160,20014
D,20010412,171654,1000145,00251D,0000232,1,11,1116,111603,1347,134702,253,329,1,329,253,76,20014
A,20010412,171654,1000153,00251A,0000232,1,11,1116,111603,1347,134702,253,329,1,329,253,76,20014
B,20010412,171654,1000162,00251B,0000317,1,11,1119,111907,0623,062301,357,465,1,465,357,108,20014
D,20010412,171654,1000145,00251D,0000317,1,11,1119,111907,0623,062301,357,465,5,2325,1785,540,20014
A,20010412,171654,1000153,00251A,0000369,1,11,1103,110301,0663,066302,210,273,1,273,210,63,20014
B,20010412,171654,1000162,00251B,0000443,1,13,1301,130121,1886,188600,395,671,1,671,395,276,20014
D,20010412,171654,1000145,00251D,0000443,1,13,1301,130121,1886,188600,395,514,1,514,395,119,20014
A,20010412,171654,1000153,00251A,0000221,1,13,1303,130303,1137,113701,422,549,6,3294,2532,762,20014
B,20010412,171654,1000162,00251B,0000566,1,13,1302,130205,0561,056105,524,682,1,682,524,158,20014
C,20010413,105206,1000136,00110C,0000441,1,11,1110,111007,0713,071300,296,385,1,385,296,89,20014
D,20010413,084323,1000147,00055D,0000254,1,11,1115,111597,1124,112402,370,556,1,556,370,186,20014
A,20010413,084323,1000155,00055A,0000678,1,14,1401,140101,0891,089104,291,379,1,379,291,88,20014
B,20010413,103230,1000166,00222B,0000528,1,11,1107,110721,0547,054700,241,314,1,314,241,73,20014
C,20010413,084323,1000135,00055C,0000678,1,14,1401,140101,0891,089104,291,379,1,379,291,88,20014
D,20010413,084323,1000147,00055D,0000678,1,14,1401,140101,0891,089104,291,379,5,1895,1455,440,20014
A,20010413,084323,1000155,00055A,0000254,1,11,1115,111597,1124,112402,370,481,5,2405,1850,555,20014
B,20010413,103230,1000166,00222B,0000392,1,14,1401,140107,1376,137605,254,410,1,410,254,156,20014
C,20010413,084323,1000135,00055C,0000522,1,13,1301,130121,1677,167705,261,430,3,1290,783,507,20014
D,20010413,122702,1000146,00030D,0000409,1,13,1301,130125,1033,103300,333,433,1,433,333,100,20014
A,20010413,084323,1000155,00055A,0000522,1,13,1301,130121,1677,167705,261,340,1,340,261,79,20014
B,20010413,084323,1000164,00055B,0000678,1,14,1401,140101,0891,089104,291,379,1,379,291,88,20014
C,20010413,084323,1000135,00055C,0000254,1,11,1115,111597,1124,112402,370,754,1,754,370,384,20014
D,20010413,103230,1000149,00222D,0000528,1,11,1107,110721,0547,054700,241,314,1,314,241,73,20014
A,20010413,103230,1000157,00222A,0000392,1,14,1401,140107,1376,137605,254,331,6,1986,1524,462,20014
B,20010413,084323,1000164,00055B,0000522,1,13,1301,130121,1677,167705,261,340,1,340,261,79,20014
C,20010413,103230,1000137,00222C,0000687,1,11,1102,110211,0282,028200,252,328,4,1312,1008,304,20014
D,20010413,103230,1000149,00222D,0000392,1,14,1401,140107,1376,137605,254,331,1,331,254,77,20014
A,20010413,103230,1000157,00222A,0000528,1,11,1107,110721,0547,054700,241,314,1,314,241,73,20014
B,20010413,084323,1000164,00055B,0000254,1,11,1115,111597,1124,112402,370,575,1,575,370,205,20014
C,20010413,103230,1000137,00222C,0000417,1,11,1107,110703,0442,044204,395,514,4,2056,1580,476,20014
D,20010413,103230,1000149,00222D,0000417,1,11,1107,110703,0442,044204,395,514,1,514,395,119,20014
A,20010413,103230,1000157,00222A,0000340,1,14,1403,140317,0302,030202,318,414,1,414,318,96,20014
B,20010413,103230,1000166,00222B,0000687,1,11,1102,110211,0282,028200,252,328,6,1968,1512,456,20014
C,20010413,103230,1000137,00222C,0000340,1,14,1403,140317,0302,030202,318,414,1,414,318,96,20014
D,20010413,103230,1000149,00222D,0000495,1,11,1111,111113,0138,013801,247,322,5,1610,1235,375,20014
A,20010413,103230,1000157,00222A,0000687,1,11,1102,110211,0282,028200,252,328,1,328,252,76,20014
B,20010413,122702,1000163,00030B,0000409,1,13,1301,130125,1033,103300,333,433,6,2598,1998,600,20014
C,20010413,103230,1000137,00222C,0000495,1,11,1111,111113,0138,013801,247,455,1,455,247,208,20014
D,20010413,103230,1000149,00222D,0000687,1,11,1102,110211,0282,028200,252,328,6,1968,1512,456,20014
A,20010413,103230,1000157,00222A,0000495,1,11,1111,111113,0138,013801,247,322,4,1288,988,300,20014
B,20010413,105206,1000165,00110B,0000441,1,11,1110,111007,0713,071300,296,385,1,385,296,89,20014
C,20010413,103230,1000137,00222C,0000392,1,14,1401,140107,1376,137605,254,331,5,1655,1270,385,20014
D,20010413,084323,1000147,00055D,0000522,1,13,1301,130121,1677,167705,261,340,5,1700,1305,395,20014
A,20010413,103230,1000157,00222A,0000417,1,11,1107,110703,0442,044204,395,514,1,514,395,119,20014
B,20010413,103230,1000166,00222B,0000340,1,14,1403,140317,0302,030202,318,414,1,414,318,96,20014
C,20010413,103230,1000137,00222C,0000528,1,11,1107,110721,0547,054700,241,314,1,314,241,73,20014
D,20010413,105206,1000148,00110D,0000441,1,11,1110,111007,0713,071300,296,869,1,869,296,573,20014
A,20010413,105206,1000156,00110A,0000327,1,13,1302,130297,0471,047101,357,465,4,1860,1428,432,20014
B,20010413,105206,1000165,00110B,0000399,1,11,1113,111307,0939,093902,198,258,1,258,198,60,20014
C,20010413,105206,1000136,00110C,0000228,1,14,1402,140205,0749,074904,325,575,1,575,325,250,20014
D,20010413,105206,1000148,00110D,0000228,1,14,1402,140205,0749,074904,325,423,1,423,325,98,20014
A,20010413,105206,1000156,00110A,0000564,1,11,1102,110205,1735,173500,200,260,5,1300,1000,300,20014
B,20010413,105206,1000165,00110B,0000357,1,11,1105,110505,0013,001300,500,650,1,650,500,150,20014
C,20010413,122702,1000134,00030C,0000409,1,13,1301,130125,1033,103300,333,508,1,508,333,175,20014
D,20010413,105206,1000148,00110D,0000399,1,11,1113,111307,0939,093902,198,297,1,297,198,99,20014
A,20010413,105206,1000156,00110A,0000357,1,11,1105,110505,0013,001300,500,922,1,922,500,422,20014
B,20010413,105206,1000165,00110B,0000564,1,11,1102,110205,1735,173500,200,260,1,260,200,60,20014
C,20010413,105206,1000136,00110C,0000327,1,13,1302,130297,0471,047101,357,465,1,465,357,108,20014
D,20010413,105206,1000148,00110D,0000327,1,13,1302,130297,0471,047101,357,465,1,465,357,108,20014
A,20010413,105206,1000156,00110A,0000441,1,11,1110,111007,0713,071300,296,385,1,385,296,89,20014
B,20010413,105206,1000165,00110B,0000327,1,13,1302,130297,0471,047101,357,563,1,563,357,206,20014
C,20010413,105206,1000136,00110C,0000399,1,11,1113,111307,0939,093902,198,258,6,1548,1188,360,20014
D,20010413,105206,1000148,00110D,0000564,1,11,1102,110205,1735,173500,200,260,1,260,200,60,20014
A,20010413,105206,1000156,00110A,0000228,1,14,1402,140205,0749,074904,325,423,1,423,325,98,20014
B,20010413,103230,1000166,00222B,0000417,1,11,1107,110703,0442,044204,395,514,1,514,395,119,20014
C,20010413,105206,1000136,00110C,0000564,1,11,1102,110205,1735,173500,200,260,1,260,200,60,20014
D,20010413,105206,1000148,00110D,0000357,1,11,1105,110505,0013,001300,500,650,1,650,500,150,20014
A,20010413,105206,1000156,00110A,0000399,1,11,1113,111307,0939,093902,198,258,6,1548,1188,360,20014
B,20010413,105206,1000165,00110B,0000228,1,14,1402,140205,0749,074904,325,494,1,494,325,169,20014
C,20010413,105206,1000136,00110C,0000357,1,11,1105,110505,0013,001300,500,650,5,3250,2500,750,20014
D,20010413,103230,1000149,00222D,0000340,1,14,1403,140317,0302,030202,318,414,5,2070,1590,480,20014
A,20010413,122702,1000154,00030A,0000409,1,13,1301,130125,1033,103300,333,433,1,433,333,100,20014
B,20010413,103230,1000166,00222B,0000495,1,11,1111,111113,0138,013801,247,461,1,461,247,214,20014
C,20010414,165708,1000138,00008C,0000176,1,11,1116,111601,0018,001800,253,329,5,1645,1265,380,20014
D,20010414,165708,1000150,00008D,0000348,1,11,1115,111505,0929,092901,331,431,1,431,331,100,20014
A,20010414,135219,1000159,00043A,0000331,1,11,1102,110207,0193,019301,275,358,6,2148,1650,498,20014
B,20010414,165708,1000167,00008B,0000472,1,14,1402,140205,1974,197403,267,348,1,348,267,81,20014
C,20010414,135219,1000139,00043C,0000331,1,11,1102,110207,0193,019301,275,358,1,358,275,83,20014
D,20010414,165708,1000150,00008D,0000286,1,11,1104,110415,1057,105702,302,393,1,393,302,91,20014
A,20010414,135219,1000159,00043A,0000546,1,14,1404,140401,0549,054906,384,500,1,500,384,116,20014
B,20010414,165708,1000167,00008B,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
C,20010414,135219,1000139,00043C,0000546,1,14,1404,140401,0549,054906,384,521,1,521,384,137,20014
D,20010414,135219,1000151,00043D,0000331,1,11,1102,110207,0193,019301,275,424,6,2544,1650,894,20014
A,20010414,135219,1000159,00043A,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
B,20010414,165708,1000167,00008B,0000176,1,11,1116,111601,0018,001800,253,329,3,987,759,228,20014
C,20010414,135219,1000139,00043C,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
D,20010414,135219,1000151,00043D,0000546,1,14,1404,140401,0549,054906,384,694,3,2082,1152,930,20014
A,20010414,135219,1000159,00043A,0000490,1,13,1301,130123,0887,088701,357,465,1,465,357,108,20014
B,20010414,135219,1000168,00043B,0000331,1,11,1102,110207,0193,019301,275,358,1,358,275,83,20014
C,20010414,135219,1000139,00043C,0000490,1,13,1301,130123,0887,088701,357,465,1,465,357,108,20014
D,20010414,135219,1000151,00043D,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
A,20010414,165708,1000158,00008A,0000216,1,11,1107,110707,1113,111304,189,246,1,246,189,57,20014
B,20010414,135219,1000168,00043B,0000490,1,13,1301,130123,0887,088701,357,465,5,2325,1785,540,20014
C,20010414,165708,1000138,00008C,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
D,20010414,135219,1000151,00043D,0000490,1,13,1301,130123,0887,088701,357,663,1,663,357,306,20014
A,20010414,165708,1000158,00008A,0000472,1,14,1402,140205,1974,197403,267,348,5,1740,1335,405,20014
B,20010414,135219,1000168,00043B,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
C,20010414,165708,1000138,00008C,0000472,1,14,1402,140205,1974,197403,267,348,1,348,267,81,20014
D,20010414,165708,1000150,00008D,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
A,20010414,165708,1000158,00008A,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57,20014
B,20010414,165708,1000167,00008B,0000216,1,11,1107,110707,1113,111304,189,246,1,246,189,57,20014
C,20010414,165708,1000138,00008C,0000286,1,11,1104,110415,1057,105702,302,393,1,393,302,91,20014
D,20010414,165708,1000150,00008D,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57,20014
A,20010414,165708,1000158,00008A,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
B,20010414,165708,1000167,00008B,0000348,1,11,1115,111505,0929,092901,331,431,2,862,662,200,20014
C,20010414,165708,1000138,00008C,0000216,1,11,1107,110707,1113,111304,189,246,3,738,567,171,20014
D,20010414,165708,1000150,00008D,0000472,1,14,1402,140205,1974,197403,267,348,1,348,267,81,20014
A,20010414,165708,1000158,00008A,0000348,1,11,1115,111505,0929,092901,331,431,5,2155,1655,500,20014
B,20010414,135219,1000168,00043B,0000546,1,14,1404,140401,0549,054906,384,500,1,500,384,116,20014
C,20010414,165708,1000138,00008C,0000348,1,11,1115,111505,0929,092901,331,431,1,431,331,100,20014
D,20010414,165708,1000150,00008D,0000216,1,11,1107,110707,1113,111304,189,246,1,246,189,57,20014
A,20010414,165708,1000158,00008A,0000286,1,11,1104,110415,1057,105702,302,393,1,393,302,91,20014
B,20010414,165708,1000167,00008B,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57,20014
C,20010414,165708,1000138,00008C,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57,20014
